id,national_station_code,name,network_id,measurement_regime,city,eoi_code,municipality,geom,mobile,area_classification,distance_junction,traffic_volume,heavy_duty_fraction,street_width,height_facades,begin_position,end_position
STA_NO0057A,7,Alnabru,NET_NO003A,http://inspire.ec.europa.eu/codelist/measurementregimevalue/continuousdatacollection,,NO0057A,Oslo,POINT Z(59.92769 10.84655 95),FALSE,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,,,,,,2001-01-01T00:00:00+01:00,
STA_NO0126A,1147,Olav V gate,NET_NO034A,http://inspire.ec.europa.eu/codelist/measurementregimevalue/continuousdatacollection,,NO0126A,Trondheim,POINT Z(67.275501 14.419057 100),FALSE,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,20,,,,,2018-02-06T08:00:00+01:00,
